time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,nic.ru,64,146.759,148.760,149.912,1.323,0
1,nic.ru,128,146.759,148.425,149.892,1.446,0
1,nic.ru,256,146.958,148.961,150.354,1.366,0
1,nic.ru,512,147.330,149.706,151.008,1.253,0
1,nic.ru,1024,147.996,149.991,152.017,1.414,0
1,nic.ru,2048,151.370,151.568,152.350,0.245,0
1,nic.ru,64,146.747,148.892,150.016,1.360,0
1,nic.ru,128,146.797,148.728,149.870,1.409,0
1,nic.ru,256,146.968,148.660,150.093,1.370,0
1,nic.ru,512,147.286,148.955,150.860,1.501,0
1,nic.ru,1024,148.000,149.948,151.936,1.473,0
1,nic.ru,2048,151.362,151.617,152.660,0.308,0
1,nic.ru,64,146.771,148.945,150.277,1.272,0
1,nic.ru,128,146.805,148.110,149.877,1.293,0
1,nic.ru,256,147.078,148.687,151.839,1.532,0
1,nic.ru,512,147.397,149.543,151.078,1.243,0
1,nic.ru,1024,147.595,149.761,151.914,1.639,0
1,nic.ru,2048,148.183,148.415,149.104,0.368,5
1,nic.ru,64,146.292,146.682,147.872,0.422,0
1,nic.ru,128,146.336,146.772,147.546,0.321,0
1,nic.ru,256,146.576,147.113,152.383,1.325,0
1,nic.ru,512,146.888,147.261,148.007,0.547,0
1,nic.ru,1024,147.560,147.840,148.682,0.388,5
1,nic.ru,2048,148.263,148.600,149.937,0.667,0
1,nic.ru,64,146.260,146.649,147.242,0.398,0
1,nic.ru,128,146.403,146.769,147.432,0.363,5
1,nic.ru,256,146.565,147.057,150.616,0.984,0
1,nic.ru,512,146.840,147.273,148.228,0.435,0
1,nic.ru,1024,147.575,147.839,148.164,0.285,0
1,nic.ru,2048,151.376,151.689,152.645,0.574,0
1,nic.ru,64,146.692,148.765,150.639,1.476,0
1,nic.ru,128,146.765,149.080,150.614,1.355,0
1,nic.ru,256,146.956,148.810,150.661,1.408,0
1,nic.ru,512,147.273,149.510,150.766,1.305,0
1,nic.ru,1024,147.958,149.904,151.784,1.503,0
1,nic.ru,2048,151.348,151.731,152.494,0.544,0
1,nic.ru,64,146.726,148.808,150.590,1.481,0
1,nic.ru,128,147.397,149.488,150.626,0.937,0
1,nic.ru,256,146.988,149.270,150.486,1.378,0
1,nic.ru,512,147.290,149.363,151.346,1.484,0
1,nic.ru,1024,148.038,150.164,152.750,1.444,0
