time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,google.com,64,43.074,43.132,43.197,0.248,0
1,iitg.ac.in,64,320.933,321.068,321.554,0.221,0
1,nic.ru,64,147.517,147.693,148.326,0.425,0
1,imare.in,64,201.216,201.796,202.777,0.714,0
1,bewakoof.com,64,12.764,13.009,15.496,0.574,0
1,google.com,64,42.619,42.713,42.823,0.249,0
1,iitg.ac.in,64,320.918,321.038,321.320,0.722,0
1,nic.ru,64,147.423,147.708,148.512,0.395,0
1,imare.in,64,201.299,201.778,202.936,0.535,0
1,bewakoof.com,64,12.780,12.882,12.998,0.158,0
1,google.com,64,43.116,43.360,43.445,0.294,0
1,iitg.ac.in,64,320.926,321.027,321.208,0.720,0
1,nic.ru,64,147.439,147.630,148.052,0.518,0
1,imare.in,64,201.323,201.948,203.692,0.611,0
1,bewakoof.com,64,11.877,12.830,13.150,0.235,0
1,google.com,64,43.592,43.701,43.806,0.232,0
1,iitg.ac.in,64,320.934,321.099,321.631,0.617,0
1,nic.ru,64,147.423,147.702,148.120,0.441,0
1,imare.in,64,201.336,202.002,204.291,0.895,0
1,bewakoof.com,64,12.744,12.845,13.007,0.134,0
1,google.com,64,42.905,43.026,43.115,0.126,0
1,iitg.ac.in,64,320.899,321.138,323.254,0.814,0
1,nic.ru,64,147.480,147.700,148.135,0.323,0
1,imare.in,64,201.308,202.136,203.609,0.786,0
1,bewakoof.com,64,12.790,12.901,13.022,0.147,0
1,google.com,64,43.726,43.787,43.872,0.152,0
1,iitg.ac.in,64,320.903,321.040,321.172,0.625,0
1,nic.ru,64,147.535,147.712,148.140,0.317,0
1,imare.in,64,201.275,201.925,203.180,0.540,0
1,bewakoof.com,64,12.807,12.877,12.945,0.119,0
1,google.com,64,43.225,43.328,43.711,0.297,0
1,iitg.ac.in,64,320.939,321.076,321.384,0.486,0
1,nic.ru,64,147.545,148.073,149.530,0.654,0
1,imare.in,64,201.284,202.167,206.523,1.223,0
1,bewakoof.com,64,12.725,12.869,13.017,0.169,0
1,google.com,64,43.168,43.260,43.336,0.222,0
1,iitg.ac.in,64,320.959,321.431,327.454,1.520,0
1,nic.ru,64,147.506,147.743,148.321,0.350,0
1,imare.in,64,201.252,201.914,205.680,1.027,0
1,bewakoof.com,64,12.775,12.860,12.944,0.055,0
1,google.com,64,43.389,43.462,43.789,0.204,0
1,iitg.ac.in,64,321.039,321.240,322.640,0.749,0
1,nic.ru,64,147.551,147.686,147.962,0.538,5
1,imare.in,64,201.277,201.764,202.620,0.533,0
1,bewakoof.com,64,12.806,12.906,12.988,0.156,0
1,google.com,64,43.280,43.453,43.531,0.226,0
1,iitg.ac.in,64,320.984,321.091,321.211,0.762,0
1,nic.ru,64,147.548,147.758,148.643,0.549,0
1,imare.in,64,201.265,201.963,202.943,0.579,0
1,bewakoof.com,64,12.726,12.857,13.015,0.088,0
1,google.com,64,43.343,43.441,43.779,0.256,0
1,iitg.ac.in,64,320.943,321.121,321.383,0.376,0
1,nic.ru,64,147.524,147.690,148.030,0.375,0
1,imare.in,64,201.226,201.874,202.766,0.506,0
1,bewakoof.com,64,12.788,12.871,13.017,0.138,0
1,google.com,64,42.649,42.704,42.966,0.131,0
1,iitg.ac.in,64,320.983,321.101,321.512,0.702,0
1,nic.ru,64,147.526,147.692,148.445,0.553,0
1,imare.in,64,201.104,202.146,204.651,1.050,0
1,bewakoof.com,64,12.786,12.866,13.034,0.086,0
1,google.com,64,42.956,43.036,43.133,0.221,0
1,iitg.ac.in,64,320.984,321.066,321.260,0.784,0
1,nic.ru,64,147.495,147.605,147.815,0.282,0
1,imare.in,64,200.953,201.797,204.591,0.874,0
1,bewakoof.com,64,12.747,12.880,13.691,0.196,0
1,google.com,64,42.615,42.671,42.762,0.219,0
1,iitg.ac.in,64,320.981,321.120,321.445,0.603,0
1,nic.ru,64,147.577,149.506,151.208,1.588,0
1,imare.in,64,201.140,201.858,203.350,0.780,0
1,bewakoof.com,64,12.794,12.874,13.008,0.127,0
1,google.com,64,43.301,43.381,43.458,0.282,0
1,iitg.ac.in,64,320.967,321.063,321.496,0.725,0
1,nic.ru,64,147.502,149.695,151.069,1.598,0
1,imare.in,64,201.226,201.960,207.850,1.394,0
1,bewakoof.com,64,12.762,13.138,15.856,0.847,0
1,google.com,64,42.944,43.032,43.143,0.140,0
1,iitg.ac.in,64,320.957,321.123,321.928,0.650,0
1,nic.ru,64,147.550,149.425,151.019,1.654,0
1,imare.in,64,200.545,201.840,206.144,1.070,0
1,bewakoof.com,64,12.748,12.894,13.441,0.182,0
1,google.com,64,43.221,43.377,43.612,0.241,0
1,iitg.ac.in,64,320.916,321.074,321.306,0.325,0
1,nic.ru,64,147.554,150.249,152.279,2.212,0
1,imare.in,64,201.206,202.155,205.433,1.300,0
1,bewakoof.com,64,12.767,12.850,12.941,0.131,0
1,google.com,64,43.704,43.804,43.888,0.167,0
1,iitg.ac.in,64,320.975,321.102,321.526,0.213,0
1,nic.ru,64,147.460,149.355,152.117,2.215,0
1,imare.in,64,201.361,202.493,207.602,1.864,0
1,bewakoof.com,64,12.757,12.849,12.937,0.137,0
