time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,google.com,64,42.337,42.529,44.301,0.523,0
1,iitg.ac.in,64,316.779,318.403,321.781,1.700,5
1,nic.ru,64,147.210,149.263,150.685,1.700,0
1,imare.in,64,200.962,201.416,202.508,0.570,0
1,bewakoof.com,64,12.478,12.580,12.719,0.170,0
1,google.com,64,42.339,42.450,43.133,0.184,0
1,iitg.ac.in,64,316.503,319.108,325.116,2.649,0
1,nic.ru,64,147.244,149.229,153.893,2.024,0
1,imare.in,64,200.878,201.708,204.277,0.995,0
1,bewakoof.com,64,12.498,16.139,83.357,15.421,0
1,google.com,64,42.199,42.265,42.337,0.148,0
1,iitg.ac.in,64,316.492,317.981,323.178,2.052,5
1,nic.ru,64,147.197,149.135,151.021,1.726,0
1,imare.in,64,200.964,202.092,208.658,1.625,0
1,bewakoof.com,64,12.494,12.566,12.626,0.065,0
1,google.com,64,43.018,43.148,43.693,0.250,0
1,iitg.ac.in,64,316.561,318.033,320.965,1.603,0
1,nic.ru,64,147.229,149.152,150.717,1.698,0
1,imare.in,64,200.933,201.424,202.325,0.544,0
1,bewakoof.com,64,12.412,12.582,12.712,0.097,0
1,google.com,64,42.329,42.394,42.514,0.286,0
1,iitg.ac.in,64,316.616,318.180,323.453,2.115,0
1,nic.ru,64,147.184,149.851,150.999,1.437,0
1,imare.in,64,201.027,201.675,204.787,0.982,0
1,bewakoof.com,64,12.129,12.866,15.948,0.770,0
1,google.com,64,43.022,43.339,47.540,0.981,0
1,iitg.ac.in,64,316.618,317.834,324.541,2.002,5
1,nic.ru,64,147.168,149.128,150.774,1.679,0
1,imare.in,64,200.134,201.339,202.439,0.514,0
1,bewakoof.com,64,12.506,12.768,16.115,0.782,0
1,google.com,64,41.898,41.991,42.131,0.191,0
1,iitg.ac.in,64,316.549,318.120,328.844,2.807,0
1,nic.ru,64,147.225,149.629,150.755,1.562,0
1,imare.in,64,201.054,201.505,203.274,0.609,0
1,bewakoof.com,64,12.445,12.566,12.643,0.136,0
1,google.com,64,42.721,42.861,43.901,0.255,0
1,iitg.ac.in,64,316.606,317.674,323.722,1.712,0
1,nic.ru,64,147.227,149.666,151.192,1.603,0
1,imare.in,64,200.889,201.892,207.766,1.467,0
1,bewakoof.com,64,12.537,12.592,12.684,0.096,0
1,google.com,64,42.693,42.741,42.916,0.221,0
1,iitg.ac.in,64,316.590,318.496,321.605,1.691,0
1,nic.ru,64,147.071,149.469,151.064,1.712,0
1,imare.in,64,200.917,201.314,202.126,0.363,0
1,bewakoof.com,64,12.522,12.591,12.679,0.118,0
1,google.com,64,40.915,41.575,42.419,0.484,0
1,iitg.ac.in,64,315.629,316.503,320.398,1.343,0
1,nic.ru,64,146.285,148.344,149.853,1.657,0
1,imare.in,64,200.126,200.903,202.474,0.750,0
1,bewakoof.com,64,11.706,11.833,11.938,0.154,0
1,google.com,64,40.933,40.996,41.433,0.268,0
1,iitg.ac.in,64,315.517,316.118,317.752,0.634,0
1,nic.ru,64,146.311,148.865,149.907,1.483,0
1,imare.in,64,200.080,200.694,201.793,0.733,0
1,bewakoof.com,64,11.726,11.896,13.181,0.325,0
1,google.com,64,40.908,40.993,41.177,0.239,0
1,iitg.ac.in,64,315.509,316.345,321.120,1.479,0
1,nic.ru,64,146.218,148.364,150.204,1.686,0
1,imare.in,64,200.185,200.648,201.300,0.567,0
1,bewakoof.com,64,11.699,11.997,15.190,0.746,0
1,google.com,64,42.064,42.128,42.172,0.116,0
1,iitg.ac.in,64,315.638,316.959,321.520,1.890,0
1,nic.ru,64,146.269,148.752,150.364,1.655,0
1,imare.in,64,200.336,201.039,203.354,0.848,0
1,bewakoof.com,64,11.770,11.836,11.935,0.152,0
1,google.com,64,41.730,41.810,41.933,0.201,0
1,iitg.ac.in,64,315.711,317.011,319.854,1.368,0
1,nic.ru,64,146.251,148.387,150.018,1.681,0
1,imare.in,64,200.208,200.884,204.995,1.252,0
1,bewakoof.com,64,11.771,11.838,12.005,0.155,0
1,google.com,64,42.101,42.159,42.222,0.116,0
1,iitg.ac.in,64,315.642,317.600,327.149,2.666,0
1,nic.ru,64,146.296,148.278,150.151,1.759,0
1,imare.in,64,200.213,200.753,202.180,0.714,0
1,bewakoof.com,64,11.766,11.861,11.966,0.096,0
1,google.com,64,42.074,42.177,42.641,0.305,0
1,iitg.ac.in,64,315.708,317.931,325.140,2.601,5
1,nic.ru,64,146.309,146.740,147.171,0.573,0
1,imare.in,64,199.912,201.097,209.302,1.947,0
1,bewakoof.com,64,11.707,11.829,11.949,0.159,0
1,google.com,64,41.342,41.417,41.502,0.135,0
1,iitg.ac.in,64,315.776,317.689,328.319,3.033,5
1,nic.ru,64,146.275,146.723,147.116,0.506,0
1,imare.in,64,200.229,200.812,202.127,0.615,0
1,bewakoof.com,64,11.656,11.822,11.939,0.075,0
1,google.com,64,40.903,41.064,42.277,0.345,0
1,iitg.ac.in,64,315.656,318.294,328.107,3.366,0
1,nic.ru,64,146.278,146.589,146.902,0.354,0
1,imare.in,64,199.409,201.051,209.781,2.079,0
1,bewakoof.com,64,10.962,11.795,11.962,0.212,0
1,google.com,64,41.253,41.579,45.791,0.975,0
1,iitg.ac.in,64,315.619,318.666,326.280,3.576,0
1,nic.ru,64,146.322,146.762,147.292,0.530,0
1,imare.in,64,200.197,200.770,201.432,0.637,0
1,bewakoof.com,64,11.559,11.904,12.770,0.249,0
1,google.com,64,41.288,41.334,41.398,0.215,0
1,iitg.ac.in,64,315.505,317.478,322.557,2.534,0
1,nic.ru,64,146.295,146.867,148.428,0.622,0
1,imare.in,64,200.174,200.631,202.370,0.723,0
1,bewakoof.com,64,11.731,11.847,12.042,0.127,0
