time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,nic.ru,64,147.336,149.430,150.967,1.544,0
1,nic.ru,128,147.369,150.088,151.384,1.410,0
1,nic.ru,256,147.541,149.924,151.143,1.516,0
1,nic.ru,512,147.897,150.064,151.467,1.613,0
1,nic.ru,1024,148.580,151.566,152.528,1.047,0
1,nic.ru,2048,152.359,152.493,152.687,0.435,0
1,nic.ru,64,147.247,149.822,151.510,1.507,0
1,nic.ru,128,147.397,149.540,150.920,1.598,0
1,nic.ru,256,147.572,150.209,150.945,1.303,0
1,nic.ru,512,147.867,150.761,152.196,1.313,0
1,nic.ru,1024,148.627,151.565,153.044,1.348,0
1,nic.ru,2048,152.373,152.842,153.883,0.590,0
1,nic.ru,64,147.395,150.069,152.057,1.464,0
1,nic.ru,128,147.400,150.525,152.605,1.677,0
1,nic.ru,256,147.572,150.155,151.938,1.575,0
1,nic.ru,512,148.104,152.162,155.379,1.654,0
1,nic.ru,1024,148.573,152.033,154.058,1.597,0
1,nic.ru,2048,152.395,152.682,153.956,0.487,0
1,nic.ru,64,147.259,149.615,152.093,1.631,0
1,nic.ru,128,147.298,149.368,150.860,1.616,0
1,nic.ru,256,147.554,149.671,151.879,1.665,0
1,nic.ru,512,147.892,150.417,151.425,1.428,0
1,nic.ru,1024,149.082,150.977,152.925,1.368,0
1,nic.ru,2048,151.462,152.184,152.712,0.591,0
1,nic.ru,64,146.805,148.824,150.607,1.438,0
1,nic.ru,128,146.862,148.106,150.105,1.440,0
1,nic.ru,256,147.067,149.265,150.293,1.299,0
1,nic.ru,512,147.364,149.309,153.048,1.660,0
1,nic.ru,1024,148.077,149.746,151.707,1.525,0
1,nic.ru,2048,151.403,151.564,151.743,0.453,0
1,nic.ru,64,146.784,149.245,153.888,1.708,0
1,nic.ru,128,146.921,148.987,150.539,1.243,0
1,nic.ru,256,147.060,149.489,154.631,1.697,0
1,nic.ru,512,147.412,149.566,151.267,1.210,0
1,nic.ru,1024,148.077,149.986,151.244,1.354,0
